full_part_number,section,subsection,position_details
15,High density HR,Overall Dimensions,Pos1(15): 15 contacts
26,High density HR,Overall Dimensions,Pos1(26): 26 contacts
44,High density HR,Overall Dimensions,Pos1(44): 44 contacts
62,High density HR,Overall Dimensions,Pos1(62): 62 contacts
78,High density HR,Overall Dimensions,Pos1(78): 78 contacts
VFH,Panel mounting option,Standard density,Pos1(): Fixed value | Pos2(VF): Fixed front female screwlock | Pos3(H): Threaded rear insert
VFG,Panel mounting option,Standard density,Pos1(): Fixed value | Pos2(VF): Fixed front female screwlock | Pos3(G): Threaded rear insert
VFMH,Panel mounting option,Standard density,Pos1(): Fixed value | Pos2(VFM): Fixed front female screwlock | Pos3(H): Threaded rear insert
VFMG,Panel mounting option,Standard density,Pos1(): Fixed value | Pos2(VFM): Fixed front female screwlock | Pos3(G): Threaded rear insert
VFH,Panel mounting option,High density,Pos1(): Fixed value | Pos2(VF): Fixed front female screwlock | Pos3(H): Threaded rear insert
VFG,Panel mounting option,High density,Pos1(): Fixed value | Pos2(VF): Fixed front female screwlock | Pos3(G): Threaded rear insert
VFMH,Panel mounting option,High density,Pos1(): Fixed value | Pos2(VFM): Fixed front female screwlock | Pos3(H): Threaded rear insert
VFMG,Panel mounting option,High density,Pos1(): Fixed value | Pos2(VFM): Fixed front female screwlock | Pos3(G): Threaded rear insert
EHVFP09,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(H): Rear insert 4-40 | Pos4(VF): Front screwlock 4-40 | Pos5(P): Pin | Pos6(09): Configuration 09
EHVFP15,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(H): Rear insert 4-40 | Pos4(VF): Front screwlock 4-40 | Pos5(P): Pin | Pos6(15): Configuration 15
EHVFP25,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(H): Rear insert 4-40 | Pos4(VF): Front screwlock 4-40 | Pos5(P): Pin | Pos6(25): Configuration 25
EHVFP37,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(H): Rear insert 4-40 | Pos4(VF): Front screwlock 4-40 | Pos5(P): Pin | Pos6(37): Configuration 37
EHVFP50,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(H): Rear insert 4-40 | Pos4(VF): Front screwlock 4-40 | Pos5(P): Pin | Pos6(50): Configuration 50
EHVFS09,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(H): Rear insert 4-40 | Pos4(VF): Front screwlock 4-40 | Pos5(S): Socket | Pos6(09): Configuration 09
EHVFS15,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(H): Rear insert 4-40 | Pos4(VF): Front screwlock 4-40 | Pos5(S): Socket | Pos6(15): Configuration 15
EHVFS25,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(H): Rear insert 4-40 | Pos4(VF): Front screwlock 4-40 | Pos5(S): Socket | Pos6(25): Configuration 25
EHVFS37,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(H): Rear insert 4-40 | Pos4(VF): Front screwlock 4-40 | Pos5(S): Socket | Pos6(37): Configuration 37
EHVFS50,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(H): Rear insert 4-40 | Pos4(VF): Front screwlock 4-40 | Pos5(S): Socket | Pos6(50): Configuration 50
EHVFMP09,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(H): Rear insert 4-40 | Pos4(VFM): Front screwlock M3 | Pos5(P): Pin | Pos6(09): Configuration 09
EHVFMP15,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(H): Rear insert 4-40 | Pos4(VFM): Front screwlock M3 | Pos5(P): Pin | Pos6(15): Configuration 15
EHVFMP25,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(H): Rear insert 4-40 | Pos4(VFM): Front screwlock M3 | Pos5(P): Pin | Pos6(25): Configuration 25
EHVFMP37,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(H): Rear insert 4-40 | Pos4(VFM): Front screwlock M3 | Pos5(P): Pin | Pos6(37): Configuration 37
EHVFMP50,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(H): Rear insert 4-40 | Pos4(VFM): Front screwlock M3 | Pos5(P): Pin | Pos6(50): Configuration 50
EHVFMS09,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(H): Rear insert 4-40 | Pos4(VFM): Front screwlock M3 | Pos5(S): Socket | Pos6(09): Configuration 09
EHVFMS15,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(H): Rear insert 4-40 | Pos4(VFM): Front screwlock M3 | Pos5(S): Socket | Pos6(15): Configuration 15
EHVFMS25,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(H): Rear insert 4-40 | Pos4(VFM): Front screwlock M3 | Pos5(S): Socket | Pos6(25): Configuration 25
EHVFMS37,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(H): Rear insert 4-40 | Pos4(VFM): Front screwlock M3 | Pos5(S): Socket | Pos6(37): Configuration 37
EHVFMS50,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(H): Rear insert 4-40 | Pos4(VFM): Front screwlock M3 | Pos5(S): Socket | Pos6(50): Configuration 50
EGVFP09,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(G): Rear insert M3 | Pos4(VF): Front screwlock 4-40 | Pos5(P): Pin | Pos6(09): Configuration 09
EGVFP15,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(G): Rear insert M3 | Pos4(VF): Front screwlock 4-40 | Pos5(P): Pin | Pos6(15): Configuration 15
EGVFP25,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(G): Rear insert M3 | Pos4(VF): Front screwlock 4-40 | Pos5(P): Pin | Pos6(25): Configuration 25
EGVFP37,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(G): Rear insert M3 | Pos4(VF): Front screwlock 4-40 | Pos5(P): Pin | Pos6(37): Configuration 37
EGVFP50,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(G): Rear insert M3 | Pos4(VF): Front screwlock 4-40 | Pos5(P): Pin | Pos6(50): Configuration 50
EGVFS09,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(G): Rear insert M3 | Pos4(VF): Front screwlock 4-40 | Pos5(S): Socket | Pos6(09): Configuration 09
EGVFS15,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(G): Rear insert M3 | Pos4(VF): Front screwlock 4-40 | Pos5(S): Socket | Pos6(15): Configuration 15
EGVFS25,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(G): Rear insert M3 | Pos4(VF): Front screwlock 4-40 | Pos5(S): Socket | Pos6(25): Configuration 25
EGVFS37,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(G): Rear insert M3 | Pos4(VF): Front screwlock 4-40 | Pos5(S): Socket | Pos6(37): Configuration 37
EGVFS50,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(G): Rear insert M3 | Pos4(VF): Front screwlock 4-40 | Pos5(S): Socket | Pos6(50): Configuration 50
EGVFMP09,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(G): Rear insert M3 | Pos4(VFM): Front screwlock M3 | Pos5(P): Pin | Pos6(09): Configuration 09
