full_part_number,section,subsection,position_details
,High Density,Overall Dimensions,Pos1(): Fixed value
"77SDEHno digitP09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(E): Shell size | Pos5(H): Rear insert 4-40 | Pos6(no digit): 3.05mm rivet | Pos7(P): Pin | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"77SDEHno digitP15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(E): Shell size | Pos5(H): Rear insert 4-40 | Pos6(no digit): 3.05mm rivet | Pos7(P): Pin | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"77SDEHno digitS09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(E): Shell size | Pos5(H): Rear insert 4-40 | Pos6(no digit): 3.05mm rivet | Pos7(S): Socket | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"77SDEHno digitS15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(E): Shell size | Pos5(H): Rear insert 4-40 | Pos6(no digit): 3.05mm rivet | Pos7(S): Socket | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"77SDEHVFP09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(E): Shell size | Pos5(H): Rear insert 4-40 | Pos6(VF): Screwlock 4-40 | Pos7(P): Pin | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"77SDEHVFP15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(E): Shell size | Pos5(H): Rear insert 4-40 | Pos6(VF): Screwlock 4-40 | Pos7(P): Pin | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"77SDEHVFS09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(E): Shell size | Pos5(H): Rear insert 4-40 | Pos6(VF): Screwlock 4-40 | Pos7(S): Socket | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"77SDEHVFS15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(E): Shell size | Pos5(H): Rear insert 4-40 | Pos6(VF): Screwlock 4-40 | Pos7(S): Socket | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"77SDEHVFMP09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(E): Shell size | Pos5(H): Rear insert 4-40 | Pos6(VFM): Screwlock M3 | Pos7(P): Pin | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"77SDEHVFMP15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(E): Shell size | Pos5(H): Rear insert 4-40 | Pos6(VFM): Screwlock M3 | Pos7(P): Pin | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"77SDEHVFMS09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(E): Shell size | Pos5(H): Rear insert 4-40 | Pos6(VFM): Screwlock M3 | Pos7(S): Socket | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"77SDEHVFMS15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(E): Shell size | Pos5(H): Rear insert 4-40 | Pos6(VFM): Screwlock M3 | Pos7(S): Socket | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
"77SDEGno digitP09, 15, 25, 37, 50",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(E): Shell size | Pos5(G): Rear insert M3 | Pos6(no digit): 3.05mm rivet | Pos7(P): Pin | Pos8(09, 15, 25, 37, 50): SD | Pos9(): Fixed value"
"77SDEGno digitP15, 26, 44, 62, 78",How to order,,"Pos1(): Fixed value | Pos2(77): tinned shell for receptacle | Pos3(SD): Standard density | Pos4(E): Shell size | Pos5(G): Rear insert M3 | Pos6(no digit): 3.05mm rivet | Pos7(P): Pin | Pos8(15, 26, 44, 62, 78): HD | Pos9(): Fixed value"
