full_part_number,section,subsection,position_details
Plug,D-DF Connectors,Specifications,Pos1(): Fixed value | Pos2(Plug): Plug contact
Socket,D-DF Connectors,Specifications,Pos1(): Fixed value | Pos2(Socket): Socket contact
ES,Shell size dimensions,,Pos1(E): Shell size E | Pos2(S): Standard contact spacing
EP,Shell size dimensions,,Pos1(E): Shell size E | Pos2(P): Precision contact spacing
AS,Shell size dimensions,,Pos1(A): Shell size A | Pos2(S): Standard contact spacing
AP,Shell size dimensions,,Pos1(A): Shell size A | Pos2(P): Precision contact spacing
BS,Shell size dimensions,,Pos1(B): Shell size B | Pos2(S): Standard contact spacing
BP,Shell size dimensions,,Pos1(B): Shell size B | Pos2(P): Precision contact spacing
CS,Shell size dimensions,,Pos1(C): Shell size C | Pos2(S): Standard contact spacing
CP,Shell size dimensions,,Pos1(C): Shell size C | Pos2(P): Precision contact spacing
DS,Shell size dimensions,,Pos1(D): Shell size D | Pos2(S): Standard contact spacing
DP,Shell size dimensions,,Pos1(D): Shell size D | Pos2(P): Precision contact spacing
EFront,Panel cutouts,,Pos1(E): Shell size E | Pos2(Front): Front mounting
ERear,Panel cutouts,,Pos1(E): Shell size E | Pos2(Rear): Rear mounting
AFront,Panel cutouts,,Pos1(A): Shell size A | Pos2(Front): Front mounting
ARear,Panel cutouts,,Pos1(A): Shell size A | Pos2(Rear): Rear mounting
BFront,Panel cutouts,,Pos1(B): Shell size B | Pos2(Front): Front mounting
BRear,Panel cutouts,,Pos1(B): Shell size B | Pos2(Rear): Rear mounting
CFront,Panel cutouts,,Pos1(C): Shell size C | Pos2(Front): Front mounting
CRear,Panel cutouts,,Pos1(C): Shell size C | Pos2(Rear): Rear mounting
DFront,Panel cutouts,,Pos1(D): Shell size D | Pos2(Front): Front mounting
DRear,Panel cutouts,,Pos1(D): Shell size D | Pos2(Rear): Rear mounting
,Termination,MIL Footprint,Pos1(): Fixed value | Pos2(): Fixed value | Pos3(): Fixed value | Pos4(): Fixed value | Pos5(): Fixed value | Pos6(): Fixed value
AON,Termination,European footprint,Pos1(): Fixed value | Pos2(A): Without bracket | Pos3(O): Standard contact | Pos4(N): 2.54mm pitch
AOB,Termination,European footprint,Pos1(): Fixed value | Pos2(A): Without bracket | Pos3(O): Standard contact | Pos4(B): 2.84mm pitch
AUN,Termination,European footprint,Pos1(): Fixed value | Pos2(A): Without bracket | Pos3(U): Universal contact | Pos4(N): 2.54mm pitch
AUB,Termination,European footprint,Pos1(): Fixed value | Pos2(A): Without bracket | Pos3(U): Universal contact | Pos4(B): 2.84mm pitch
PON,Termination,European footprint,Pos1(): Fixed value | Pos2(P): Plastic bracket | Pos3(O): Standard contact | Pos4(N): 2.54mm pitch
POB,Termination,European footprint,Pos1(): Fixed value | Pos2(P): Plastic bracket | Pos3(O): Standard contact | Pos4(B): 2.84mm pitch
PUN,Termination,European footprint,Pos1(): Fixed value | Pos2(P): Plastic bracket | Pos3(U): Universal contact | Pos4(N): 2.54mm pitch
PUB,Termination,European footprint,Pos1(): Fixed value | Pos2(P): Plastic bracket | Pos3(U): Universal contact | Pos4(B): 2.84mm pitch
MON,Termination,European footprint,Pos1(): Fixed value | Pos2(M): Metal bracket | Pos3(O): Standard contact | Pos4(N): 2.54mm pitch
MOB,Termination,European footprint,Pos1(): Fixed value | Pos2(M): Metal bracket | Pos3(O): Standard contact | Pos4(B): 2.84mm pitch
MUN,Termination,European footprint,Pos1(): Fixed value | Pos2(M): Metal bracket | Pos3(U): Universal contact | Pos4(N): 2.54mm pitch
MUB,Termination,European footprint,Pos1(): Fixed value | Pos2(M): Metal bracket | Pos3(U): Universal contact | Pos4(B): 2.84mm pitch
,Termination,Wire Wrap,Pos1(): Fixed value
,Termination,Straight PCB,Pos1(): Fixed value
,Termination,Grounding tabs,Pos1(): Fixed value
no digitFHVFVF2,Panel mounting option,For straight and R/A termination,Pos1(no digit): Standard rivet 3.1mm | Pos2(F): Float mounting | Pos3(H): Threaded rear insert | Pos4(VF): Fixed front female screwlock | Pos5(VF2): Removable female screwlock
no digitFHVFVFM2,Panel mounting option,For straight and R/A termination,Pos1(no digit): Standard rivet 3.1mm | Pos2(F): Float mounting | Pos3(H): Threaded rear insert | Pos4(VF): Fixed front female screwlock | Pos5(VFM2): Removable female screwlock
no digitFHVFMVF2,Panel mounting option,For straight and R/A termination,Pos1(no digit): Standard rivet 3.1mm | Pos2(F): Float mounting | Pos3(H): Threaded rear insert | Pos4(VFM): Fixed front female screwlock | Pos5(VF2): Removable female screwlock
no digitFHVFMVFM2,Panel mounting option,For straight and R/A termination,Pos1(no digit): Standard rivet 3.1mm | Pos2(F): Float mounting | Pos3(H): Threaded rear insert | Pos4(VFM): Fixed front female screwlock | Pos5(VFM2): Removable female screwlock
no digitFGVFVF2,Panel mounting option,For straight and R/A termination,Pos1(no digit): Standard rivet 3.1mm | Pos2(F): Float mounting | Pos3(G): Threaded rear insert | Pos4(VF): Fixed front female screwlock | Pos5(VF2): Removable female screwlock
no digitFGVFVFM2,Panel mounting option,For straight and R/A termination,Pos1(no digit): Standard rivet 3.1mm | Pos2(F): Float mounting | Pos3(G): Threaded rear insert | Pos4(VF): Fixed front female screwlock | Pos5(VFM2): Removable female screwlock
no digitFGVFMVF2,Panel mounting option,For straight and R/A termination,Pos1(no digit): Standard rivet 3.1mm | Pos2(F): Float mounting | Pos3(G): Threaded rear insert | Pos4(VFM): Fixed front female screwlock | Pos5(VF2): Removable female screwlock
no digitFGVFMVFM2,Panel mounting option,For straight and R/A termination,Pos1(no digit): Standard rivet 3.1mm | Pos2(F): Float mounting | Pos3(G): Threaded rear insert | Pos4(VFM): Fixed front female screwlock | Pos5(VFM2): Removable female screwlock
77DABLANK09PRM5VF,How to order,,Pos1(): Fixed value | Pos2(77D): Tinned shell for receptacle | Pos3(A): Shell size A | Pos4(BLANK): 0.3 mm rivet | Pos5(09): Configuration 09 | Pos6(P): Pin (plug) | Pos7(RM5): Standoff + Boardlock | Pos8(VF): Fixed 4-40 front screwlocks
77DABLANK09PRM5VFM,How to order,,Pos1(): Fixed value | Pos2(77D): Tinned shell for receptacle | Pos3(A): Shell size A | Pos4(BLANK): 0.3 mm rivet | Pos5(09): Configuration 09 | Pos6(P): Pin (plug) | Pos7(RM5): Standoff + Boardlock | Pos8(VFM): Fixed M3 front screwlocks
77DABLANK09PRM5VF2,How to order,,Pos1(): Fixed value | Pos2(77D): Tinned shell for receptacle | Pos3(A): Shell size A | Pos4(BLANK): 0.3 mm rivet | Pos5(09): Configuration 09 | Pos6(P): Pin (plug) | Pos7(RM5): Standoff + Boardlock | Pos8(VF2): 4-40 front screwlocks
77DABLANK09PRM5VFM2,How to order,,Pos1(): Fixed value | Pos2(77D): Tinned shell for receptacle | Pos3(A): Shell size A | Pos4(BLANK): 0.3 mm rivet | Pos5(09): Configuration 09 | Pos6(P): Pin (plug) | Pos7(RM5): Standoff + Boardlock | Pos8(VFM2): M3 front screwlocks
77DABLANK09PRM6VF,How to order,,Pos1(): Fixed value | Pos2(77D): Tinned shell for receptacle | Pos3(A): Shell size A | Pos4(BLANK): 0.3 mm rivet | Pos5(09): Configuration 09 | Pos6(P): Pin (plug) | Pos7(RM6): Boardlock for right angle mount | Pos8(VF): Fixed 4-40 front screwlocks
77DABLANK09PRM6VFM,How to order,,Pos1(): Fixed value | Pos2(77D): Tinned shell for receptacle | Pos3(A): Shell size A | Pos4(BLANK): 0.3 mm rivet | Pos5(09): Configuration 09 | Pos6(P): Pin (plug) | Pos7(RM6): Boardlock for right angle mount | Pos8(VFM): Fixed M3 front screwlocks
77DABLANK09PRM6VF2,How to order,,Pos1(): Fixed value | Pos2(77D): Tinned shell for receptacle | Pos3(A): Shell size A | Pos4(BLANK): 0.3 mm rivet | Pos5(09): Configuration 09 | Pos6(P): Pin (plug) | Pos7(RM6): Boardlock for right angle mount | Pos8(VF2): 4-40 front screwlocks
77DABLANK09PRM6VFM2,How to order,,Pos1(): Fixed value | Pos2(77D): Tinned shell for receptacle | Pos3(A): Shell size A | Pos4(BLANK): 0.3 mm rivet | Pos5(09): Configuration 09 | Pos6(P): Pin (plug) | Pos7(RM6): Boardlock for right angle mount | Pos8(VFM2): M3 front screwlocks
77DABLANK09SRM5VF,How to order,,Pos1(): Fixed value | Pos2(77D): Tinned shell for receptacle | Pos3(A): Shell size A | Pos4(BLANK): 0.3 mm rivet | Pos5(09): Configuration 09 | Pos6(S): Socket | Pos7(RM5): Standoff + Boardlock | Pos8(VF): Fixed 4-40 front screwlocks
77DABLANK09SRM5VFM,How to order,,Pos1(): Fixed value | Pos2(77D): Tinned shell for receptacle | Pos3(A): Shell size A | Pos4(BLANK): 0.3 mm rivet | Pos5(09): Configuration 09 | Pos6(S): Socket | Pos7(RM5): Standoff + Boardlock | Pos8(VFM): Fixed M3 front screwlocks
77DABLANK09SRM5VF2,How to order,,Pos1(): Fixed value | Pos2(77D): Tinned shell for receptacle | Pos3(A): Shell size A | Pos4(BLANK): 0.3 mm rivet | Pos5(09): Configuration 09 | Pos6(S): Socket | Pos7(RM5): Standoff + Boardlock | Pos8(VF2): 4-40 front screwlocks
77DABLANK09SRM5VFM2,How to order,,Pos1(): Fixed value | Pos2(77D): Tinned shell for receptacle | Pos3(A): Shell size A | Pos4(BLANK): 0.3 mm rivet | Pos5(09): Configuration 09 | Pos6(S): Socket | Pos7(RM5): Standoff + Boardlock | Pos8(VFM2): M3 front screwlocks
77DABLANK09SRM6VF,How to order,,Pos1(): Fixed value | Pos2(77D): Tinned shell for receptacle | Pos3(A): Shell size A | Pos4(BLANK): 0.3 mm rivet | Pos5(09): Configuration 09 | Pos6(S): Socket | Pos7(RM6): Boardlock for right angle mount | Pos8(VF): Fixed 4-40 front screwlocks
77DABLANK09SRM6VFM,How to order,,Pos1(): Fixed value | Pos2(77D): Tinned shell for receptacle | Pos3(A): Shell size A | Pos4(BLANK): 0.3 mm rivet | Pos5(09): Configuration 09 | Pos6(S): Socket | Pos7(RM6): Boardlock for right angle mount | Pos8(VFM): Fixed M3 front screwlocks
77DABLANK09SRM6VF2,How to order,,Pos1(): Fixed value | Pos2(77D): Tinned shell for receptacle | Pos3(A): Shell size A | Pos4(BLANK): 0.3 mm rivet | Pos5(09): Configuration 09 | Pos6(S): Socket | Pos7(RM6): Boardlock for right angle mount | Pos8(VF2): 4-40 front screwlocks
77DABLANK09SRM6VFM2,How to order,,Pos1(): Fixed value | Pos2(77D): Tinned shell for receptacle | Pos3(A): Shell size A | Pos4(BLANK): 0.3 mm rivet | Pos5(09): Configuration 09 | Pos6(S): Socket | Pos7(RM6): Boardlock for right angle mount | Pos8(VFM2): M3 front screwlocks
77DABLANK15PRM5VF,How to order,,Pos1(): Fixed value | Pos2(77D): Tinned shell for receptacle | Pos3(A): Shell size A | Pos4(BLANK): 0.3 mm rivet | Pos5(15): Configuration 15 | Pos6(P): Pin (plug) | Pos7(RM5): Standoff + Boardlock | Pos8(VF): Fixed 4-40 front screwlocks
77DABLANK15PRM5VFM,How to order,,Pos1(): Fixed value | Pos2(77D): Tinned shell for receptacle | Pos3(A): Shell size A | Pos4(BLANK): 0.3 mm rivet | Pos5(15): Configuration 15 | Pos6(P): Pin (plug) | Pos7(RM5): Standoff + Boardlock | Pos8(VFM): Fixed M3 front screwlocks
77DABLANK15PRM5VF2,How to order,,Pos1(): Fixed value | Pos2(77D): Tinned shell for receptacle | Pos3(A): Shell size A | Pos4(BLANK): 0.3 mm rivet | Pos5(15): Configuration 15 | Pos6(P): Pin (plug) | Pos7(RM5): Standoff + Boardlock | Pos8(VF2): 4-40 front screwlocks
