full_part_number,section,subsection,position_details
981,Press-Fit Tooling,Female,Pos1(981): 9 connectors | Pos2(): Fixed value
982,Press-Fit Tooling,Female,Pos1(982): 15 connectors | Pos2(): Fixed value
983,Press-Fit Tooling,Female,Pos1(983): 25 connectors | Pos2(): Fixed value
984,Press-Fit Tooling,Female,Pos1(984): 37 connectors | Pos2(): Fixed value
985,Press-Fit Tooling,Male,Pos1(985): 9 connectors | Pos2(): Fixed value
986,Press-Fit Tooling,Male,Pos1(986): 15 connectors | Pos2(): Fixed value
987,Press-Fit Tooling,Male,Pos1(987): 25 connectors | Pos2(): Fixed value
988,Press-Fit Tooling,Male,Pos1(988): 37 connectors | Pos2(): Fixed value
0910001,How to order,,Pos1(): Fixed value | Pos2(): Fixed value | Pos3(09): 9 contacts | Pos4(1): Pin | Pos5(0): Gold flash | Pos6(0): 3.10mm clear hole | Pos7(0): Without boardlock | Pos8(1): Tin over nickel
0910011,How to order,,Pos1(): Fixed value | Pos2(): Fixed value | Pos3(09): 9 contacts | Pos4(1): Pin | Pos5(0): Gold flash | Pos6(0): 3.10mm clear hole | Pos7(1): With boardlock | Pos8(1): Tin over nickel
0910101,How to order,,Pos1(): Fixed value | Pos2(): Fixed value | Pos3(09): 9 contacts | Pos4(1): Pin | Pos5(0): Gold flash | Pos6(1): #4-40 threaded hole | Pos7(0): Without boardlock | Pos8(1): Tin over nickel
0910111,How to order,,Pos1(): Fixed value | Pos2(): Fixed value | Pos3(09): 9 contacts | Pos4(1): Pin | Pos5(0): Gold flash | Pos6(1): #4-40 threaded hole | Pos7(1): With boardlock | Pos8(1): Tin over nickel
0910201,How to order,,Pos1(): Fixed value | Pos2(): Fixed value | Pos3(09): 9 contacts | Pos4(1): Pin | Pos5(0): Gold flash | Pos6(2): #4-40 UNC screwlock installed | Pos7(0): Without boardlock | Pos8(1): Tin over nickel
0910211,How to order,,Pos1(): Fixed value | Pos2(): Fixed value | Pos3(09): 9 contacts | Pos4(1): Pin | Pos5(0): Gold flash | Pos6(2): #4-40 UNC screwlock installed | Pos7(1): With boardlock | Pos8(1): Tin over nickel
0910401,How to order,,Pos1(): Fixed value | Pos2(): Fixed value | Pos3(09): 9 contacts | Pos4(1): Pin | Pos5(0): Gold flash | Pos6(4): M3 threaded hole | Pos7(0): Without boardlock | Pos8(1): Tin over nickel
