full_part_number,section,subsection,position_details
A09P1A4F,How to order,,"Pos1(): Fixed value | Pos2(A): Shell size A | Pos3(09): Configuration 09 | Pos4(P): Plug | Pos5(1A): European (10.3mm, 2.54mm pitch) | Pos6(4F): Front screwlock 4-40 | Pos7(): Fixed value"
A09P1A3F,How to order,,"Pos1(): Fixed value | Pos2(A): Shell size A | Pos3(09): Configuration 09 | Pos4(P): Plug | Pos5(1A): European (10.3mm, 2.54mm pitch) | Pos6(3F): Front screwlock M3 | Pos7(): Fixed value"
A09P1A4R,How to order,,"Pos1(): Fixed value | Pos2(A): Shell size A | Pos3(09): Configuration 09 | Pos4(P): Plug | Pos5(1A): European (10.3mm, 2.54mm pitch) | Pos6(4R): Rear insert 4-40 | Pos7(): Fixed value"
A09P1A3R,How to order,,"Pos1(): Fixed value | Pos2(A): Shell size A | Pos3(09): Configuration 09 | Pos4(P): Plug | Pos5(1A): European (10.3mm, 2.54mm pitch) | Pos6(3R): Rear insert M3 | Pos7(): Fixed value"
A09P1B4F,How to order,,"Pos1(): Fixed value | Pos2(A): Shell size A | Pos3(09): Configuration 09 | Pos4(P): Plug | Pos5(1B): European (10.3mm, 2.84mm pitch) | Pos6(4F): Front screwlock 4-40 | Pos7(): Fixed value"
A09P1B3F,How to order,,"Pos1(): Fixed value | Pos2(A): Shell size A | Pos3(09): Configuration 09 | Pos4(P): Plug | Pos5(1B): European (10.3mm, 2.84mm pitch) | Pos6(3F): Front screwlock M3 | Pos7(): Fixed value"
A09P1B4R,How to order,,"Pos1(): Fixed value | Pos2(A): Shell size A | Pos3(09): Configuration 09 | Pos4(P): Plug | Pos5(1B): European (10.3mm, 2.84mm pitch) | Pos6(4R): Rear insert 4-40 | Pos7(): Fixed value"
A09P1B3R,How to order,,"Pos1(): Fixed value | Pos2(A): Shell size A | Pos3(09): Configuration 09 | Pos4(P): Plug | Pos5(1B): European (10.3mm, 2.84mm pitch) | Pos6(3R): Rear insert M3 | Pos7(): Fixed value"
A09PA44F,How to order,,Pos1(): Fixed value | Pos2(A): Shell size A | Pos3(09): Configuration 09 | Pos4(P): Plug | Pos5(A4): MIL (0.88mm) | Pos6(4F): Front screwlock 4-40 | Pos7(): Fixed value
A09PA43F,How to order,,Pos1(): Fixed value | Pos2(A): Shell size A | Pos3(09): Configuration 09 | Pos4(P): Plug | Pos5(A4): MIL (0.88mm) | Pos6(3F): Front screwlock M3 | Pos7(): Fixed value
A09PA44R,How to order,,Pos1(): Fixed value | Pos2(A): Shell size A | Pos3(09): Configuration 09 | Pos4(P): Plug | Pos5(A4): MIL (0.88mm) | Pos6(4R): Rear insert 4-40 | Pos7(): Fixed value
A09PA43R,How to order,,Pos1(): Fixed value | Pos2(A): Shell size A | Pos3(09): Configuration 09 | Pos4(P): Plug | Pos5(A4): MIL (0.88mm) | Pos6(3R): Rear insert M3 | Pos7(): Fixed value
A09S1A4F,How to order,,"Pos1(): Fixed value | Pos2(A): Shell size A | Pos3(09): Configuration 09 | Pos4(S): Socket | Pos5(1A): European (10.3mm, 2.54mm pitch) | Pos6(4F): Front screwlock 4-40 | Pos7(): Fixed value"
A09S1A3F,How to order,,"Pos1(): Fixed value | Pos2(A): Shell size A | Pos3(09): Configuration 09 | Pos4(S): Socket | Pos5(1A): European (10.3mm, 2.54mm pitch) | Pos6(3F): Front screwlock M3 | Pos7(): Fixed value"
A09S1A4R,How to order,,"Pos1(): Fixed value | Pos2(A): Shell size A | Pos3(09): Configuration 09 | Pos4(S): Socket | Pos5(1A): European (10.3mm, 2.54mm pitch) | Pos6(4R): Rear insert 4-40 | Pos7(): Fixed value"
A09S1A3R,How to order,,"Pos1(): Fixed value | Pos2(A): Shell size A | Pos3(09): Configuration 09 | Pos4(S): Socket | Pos5(1A): European (10.3mm, 2.54mm pitch) | Pos6(3R): Rear insert M3 | Pos7(): Fixed value"
A09S1B4F,How to order,,"Pos1(): Fixed value | Pos2(A): Shell size A | Pos3(09): Configuration 09 | Pos4(S): Socket | Pos5(1B): European (10.3mm, 2.84mm pitch) | Pos6(4F): Front screwlock 4-40 | Pos7(): Fixed value"
A09S1B3F,How to order,,"Pos1(): Fixed value | Pos2(A): Shell size A | Pos3(09): Configuration 09 | Pos4(S): Socket | Pos5(1B): European (10.3mm, 2.84mm pitch) | Pos6(3F): Front screwlock M3 | Pos7(): Fixed value"
A09S1B4R,How to order,,"Pos1(): Fixed value | Pos2(A): Shell size A | Pos3(09): Configuration 09 | Pos4(S): Socket | Pos5(1B): European (10.3mm, 2.84mm pitch) | Pos6(4R): Rear insert 4-40 | Pos7(): Fixed value"
