full_part_number,section,subsection,position_details
,Panel mounting option,GROUNDING TABS,Pos1(): Fixed value | Pos2(): Fixed value
,Panel mounting option,BOARDLOCKS,Pos1(): Fixed value | Pos2(): Fixed value
,Panel mounting option,FLANGES ACCESSORIES,Pos1(): Fixed value | Pos2(): Fixed value | Pos3(): Fixed value
1R11,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(): Fixed value | Pos4(): Fixed value | Pos5(1): V1 grounding tab +2eFo boardlocks (PCB = 1.6) | Pos6(R): Reel (100 / reel, 9 Pos only) | Pos7(1): Flash | Pos8(1): 4-40 rear insert"
1R12,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(): Fixed value | Pos4(): Fixed value | Pos5(1): V1 grounding tab +2eFo boardlocks (PCB = 1.6) | Pos6(R): Reel (100 / reel, 9 Pos only) | Pos7(1): Flash | Pos8(2): M3 rear insert"
1R13,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(): Fixed value | Pos4(): Fixed value | Pos5(1): V1 grounding tab +2eFo boardlocks (PCB = 1.6) | Pos6(R): Reel (100 / reel, 9 Pos only) | Pos7(1): Flash | Pos8(3): M3 front screwlock"
1R14,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(): Fixed value | Pos4(): Fixed value | Pos5(1): V1 grounding tab +2eFo boardlocks (PCB = 1.6) | Pos6(R): Reel (100 / reel, 9 Pos only) | Pos7(1): Flash | Pos8(4): Fixed M3 front screwlock"
1R15,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(): Fixed value | Pos4(): Fixed value | Pos5(1): V1 grounding tab +2eFo boardlocks (PCB = 1.6) | Pos6(R): Reel (100 / reel, 9 Pos only) | Pos7(1): Flash | Pos8(5): 4-40 front screwlock"
1R16,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(): Fixed value | Pos4(): Fixed value | Pos5(1): V1 grounding tab +2eFo boardlocks (PCB = 1.6) | Pos6(R): Reel (100 / reel, 9 Pos only) | Pos7(1): Flash | Pos8(6): Fixed 4-40 front screwlock"
1R21,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(): Fixed value | Pos4(): Fixed value | Pos5(1): V1 grounding tab +2eFo boardlocks (PCB = 1.6) | Pos6(R): Reel (100 / reel, 9 Pos only) | Pos7(2): 0.4μm Au (15μ"") | Pos8(1): 4-40 rear insert"
1R22,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(): Fixed value | Pos4(): Fixed value | Pos5(1): V1 grounding tab +2eFo boardlocks (PCB = 1.6) | Pos6(R): Reel (100 / reel, 9 Pos only) | Pos7(2): 0.4μm Au (15μ"") | Pos8(2): M3 rear insert"
1R23,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(): Fixed value | Pos4(): Fixed value | Pos5(1): V1 grounding tab +2eFo boardlocks (PCB = 1.6) | Pos6(R): Reel (100 / reel, 9 Pos only) | Pos7(2): 0.4μm Au (15μ"") | Pos8(3): M3 front screwlock"
1R24,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(): Fixed value | Pos4(): Fixed value | Pos5(1): V1 grounding tab +2eFo boardlocks (PCB = 1.6) | Pos6(R): Reel (100 / reel, 9 Pos only) | Pos7(2): 0.4μm Au (15μ"") | Pos8(4): Fixed M3 front screwlock"
1R25,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(): Fixed value | Pos4(): Fixed value | Pos5(1): V1 grounding tab +2eFo boardlocks (PCB = 1.6) | Pos6(R): Reel (100 / reel, 9 Pos only) | Pos7(2): 0.4μm Au (15μ"") | Pos8(5): 4-40 front screwlock"
1R26,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(): Fixed value | Pos4(): Fixed value | Pos5(1): V1 grounding tab +2eFo boardlocks (PCB = 1.6) | Pos6(R): Reel (100 / reel, 9 Pos only) | Pos7(2): 0.4μm Au (15μ"") | Pos8(6): Fixed 4-40 front screwlock"
1R41,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(): Fixed value | Pos4(): Fixed value | Pos5(1): V1 grounding tab +2eFo boardlocks (PCB = 1.6) | Pos6(R): Reel (100 / reel, 9 Pos only) | Pos7(4): 0.76μm Au (30μ"") | Pos8(1): 4-40 rear insert"
1R42,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(): Fixed value | Pos4(): Fixed value | Pos5(1): V1 grounding tab +2eFo boardlocks (PCB = 1.6) | Pos6(R): Reel (100 / reel, 9 Pos only) | Pos7(4): 0.76μm Au (30μ"") | Pos8(2): M3 rear insert"
1R43,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(): Fixed value | Pos4(): Fixed value | Pos5(1): V1 grounding tab +2eFo boardlocks (PCB = 1.6) | Pos6(R): Reel (100 / reel, 9 Pos only) | Pos7(4): 0.76μm Au (30μ"") | Pos8(3): M3 front screwlock"
1R44,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(): Fixed value | Pos4(): Fixed value | Pos5(1): V1 grounding tab +2eFo boardlocks (PCB = 1.6) | Pos6(R): Reel (100 / reel, 9 Pos only) | Pos7(4): 0.76μm Au (30μ"") | Pos8(4): Fixed M3 front screwlock"
1R45,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(): Fixed value | Pos4(): Fixed value | Pos5(1): V1 grounding tab +2eFo boardlocks (PCB = 1.6) | Pos6(R): Reel (100 / reel, 9 Pos only) | Pos7(4): 0.76μm Au (30μ"") | Pos8(5): 4-40 front screwlock"
