full_part_number,section,subsection,position_details
77EBlank09OL2P,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(E): Shell size E | Pos4(Blank): Clear Hole | Pos5(09): Configuration 09 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(P): Pin | Pos8(): Fixed value"
77EBlank09OL2S,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(E): Shell size E | Pos4(Blank): Clear Hole | Pos5(09): Configuration 09 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(S): Socket | Pos8(): Fixed value"
77EBlank09OL2CP,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(E): Shell size E | Pos4(Blank): Clear Hole | Pos5(09): Configuration 09 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(P): Pin | Pos8(): Fixed value"
77EBlank09OL2CS,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(E): Shell size E | Pos4(Blank): Clear Hole | Pos5(09): Configuration 09 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(S): Socket | Pos8(): Fixed value"
77EBlank15OL2P,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(E): Shell size E | Pos4(Blank): Clear Hole | Pos5(15): Configuration 15 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(P): Pin | Pos8(): Fixed value"
77EBlank15OL2S,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(E): Shell size E | Pos4(Blank): Clear Hole | Pos5(15): Configuration 15 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(S): Socket | Pos8(): Fixed value"
77EBlank15OL2CP,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(E): Shell size E | Pos4(Blank): Clear Hole | Pos5(15): Configuration 15 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(P): Pin | Pos8(): Fixed value"
77EBlank15OL2CS,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(E): Shell size E | Pos4(Blank): Clear Hole | Pos5(15): Configuration 15 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(S): Socket | Pos8(): Fixed value"
77EBlank25OL2P,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(E): Shell size E | Pos4(Blank): Clear Hole | Pos5(25): Configuration 25 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(P): Pin | Pos8(): Fixed value"
77EBlank25OL2S,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(E): Shell size E | Pos4(Blank): Clear Hole | Pos5(25): Configuration 25 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(S): Socket | Pos8(): Fixed value"
77EBlank25OL2CP,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(E): Shell size E | Pos4(Blank): Clear Hole | Pos5(25): Configuration 25 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(P): Pin | Pos8(): Fixed value"
77EBlank25OL2CS,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(E): Shell size E | Pos4(Blank): Clear Hole | Pos5(25): Configuration 25 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(S): Socket | Pos8(): Fixed value"
77EBlank37OL2P,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(E): Shell size E | Pos4(Blank): Clear Hole | Pos5(37): Configuration 37 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(P): Pin | Pos8(): Fixed value"
77EBlank37OL2S,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(E): Shell size E | Pos4(Blank): Clear Hole | Pos5(37): Configuration 37 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(S): Socket | Pos8(): Fixed value"
77EBlank37OL2CP,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(E): Shell size E | Pos4(Blank): Clear Hole | Pos5(37): Configuration 37 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(P): Pin | Pos8(): Fixed value"
77EBlank37OL2CS,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(E): Shell size E | Pos4(Blank): Clear Hole | Pos5(37): Configuration 37 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(S): Socket | Pos8(): Fixed value"
77EG09OL2P,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(E): Shell size E | Pos4(G): M3 | Pos5(09): Configuration 09 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(P): Pin | Pos8(): Fixed value"
77EG09OL2S,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(E): Shell size E | Pos4(G): M3 | Pos5(09): Configuration 09 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(S): Socket | Pos8(): Fixed value"
77EG09OL2CP,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(E): Shell size E | Pos4(G): M3 | Pos5(09): Configuration 09 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(P): Pin | Pos8(): Fixed value"
