NUMBER_OF_CONTACTS_A	ROHS_COMPLIANT	GOLD_FLASH	DENSITY	SHELL_SIZE	REAR_MOUNTING_OPTION	FRONT_MOUNTING_OPTIO	CONTACT_TYPE	CONFIGURATION	PLATING_OPTION
Nb of Contacts									
	L	77	SD	E	H	no digit	P	09, 15, 25, 37, 50	C309
	L	77	SD	E	H	no digit	P	15, 26, 44, 62, 78	C309
	L	77	SD	E	H	no digit	S	09, 15, 25, 37, 50	C309
	L	77	SD	E	H	no digit	S	15, 26, 44, 62, 78	C309
	L	77	SD	E	H	VF	P	09, 15, 25, 37, 50	C309
	L	77	SD	E	H	VF	P	15, 26, 44, 62, 78	C309
	L	77	SD	E	H	VF	S	09, 15, 25, 37, 50	C309
	L	77	SD	E	H	VF	S	15, 26, 44, 62, 78	C309
	L	77	SD	E	H	VFM	P	09, 15, 25, 37, 50	C309
	L	77	SD	E	H	VFM	P	15, 26, 44, 62, 78	C309
	L	77	SD	E	H	VFM	S	09, 15, 25, 37, 50	C309
	L	77	SD	E	H	VFM	S	15, 26, 44, 62, 78	C309
	L	77	SD	E	G	no digit	P	09, 15, 25, 37, 50	C309
	L	77	SD	E	G	no digit	P	15, 26, 44, 62, 78	C309
	L	77	SD	E	G	no digit	S	09, 15, 25, 37, 50	C309
	L	77	SD	E	G	no digit	S	15, 26, 44, 62, 78	C309
	L	77	SD	E	G	VF	P	09, 15, 25, 37, 50	C309
	L	77	SD	E	G	VF	P	15, 26, 44, 62, 78	C309
	L	77	SD	E	G	VF	S	09, 15, 25, 37, 50	C309
	L	77	SD	E	G	VF	S	15, 26, 44, 62, 78	C309
	L	77	SD	E	G	VFM	P	09, 15, 25, 37, 50	C309
	L	77	SD	E	G	VFM	P	15, 26, 44, 62, 78	C309
	L	77	SD	E	G	VFM	S	09, 15, 25, 37, 50	C309
	L	77	SD	E	G	VFM	S	15, 26, 44, 62, 78	C309
	L	77	SD	A	H	no digit	P	09, 15, 25, 37, 50	C309
	L	77	SD	A	H	no digit	P	15, 26, 44, 62, 78	C309
	L	77	SD	A	H	no digit	S	09, 15, 25, 37, 50	C309
	L	77	SD	A	H	no digit	S	15, 26, 44, 62, 78	C309
	L	77	SD	A	H	VF	P	09, 15, 25, 37, 50	C309
	L	77	SD	A	H	VF	P	15, 26, 44, 62, 78	C309
	L	77	SD	A	H	VF	S	09, 15, 25, 37, 50	C309
	L	77	SD	A	H	VF	S	15, 26, 44, 62, 78	C309
	L	77	SD	A	H	VFM	P	09, 15, 25, 37, 50	C309
	L	77	SD	A	H	VFM	P	15, 26, 44, 62, 78	C309
